"column_name","data_type","format","description_en","description_es","privacy_rule"
"observation_id","integer","positive integer","Stable technical observation identifier used for traceability.","Identificador técnico estable de la observación utilizado para trazabilidad.","Public technical identifier"
"record_title","string","UTF-8 canonical English title","Canonical controlled title retained in English for interoperable technical workflows; the interface and PDF provide localized presentation titles.","Título controlado canónico conservado en inglés para flujos técnicos interoperables; la interfaz y el PDF presentan títulos localizados.","Public controlled text; no personal data"
"category","enum","water|waste|heat|environmental_pollution","Controlled observation category.","Categoría controlada de la observación.","Public"
"review_status","enum","pending|validated|observed|rejected","Current methodological review status.","Estado actual de revisión metodológica.","Public; not clinical validation"
"risk_score","integer","3-12","Sum of hazard, exposure and vulnerability components.","Suma de los componentes peligro, exposición y vulnerabilidad.","Public methodological value; not clinical"
"risk_level","enum","low|moderate|high|critical","Methodological risk band derived from risk_score.","Nivel metodológico derivado de risk_score.","Controlled demonstration; not an emergency alert"
"data_provenance","enum","public_real|controlled_test|synthetic_demo","Origin classification of the public record.","Clasificación de origen del registro público.","Public"
"observed_at_utc","datetime","ISO 8601 UTC","UTC observation date and time.","Fecha y hora UTC de observación.","Public"
"public_latitude","decimal","WGS84 decimal degrees or empty","Public latitude after the configured geoprivacy rule.","Latitud pública después de aplicar la regla de geoprivacidad.","Empty when hidden"
"public_longitude","decimal","WGS84 decimal degrees or empty","Public longitude after the configured geoprivacy rule.","Longitud pública después de aplicar la regla de geoprivacidad.","Empty when hidden"
"public_location_mode","enum","exact|approximate|aggregate|hidden","Geoprivacy mode applied to the public coordinates.","Modo de geoprivacidad aplicado a las coordenadas públicas.","Public"
"methodology_version","string","semantic method identifier","Version of the methodological risk calculation.","Versión del cálculo metodológico de riesgo.","Public"
"public_record_number","integer","sequential integer","Human-friendly public sequence number for the controlled demonstration.","Número secuencial público para lectura de la demostración controlada.","Presentation only; does not replace observation_id"
"record_title_en","string","UTF-8 English","Controlled public record title in English.","Título público controlado del registro en inglés.","Public controlled text; no personal data"
"record_title_es","string","UTF-8 Spanish","Controlled public record title in Spanish.","Título público controlado del registro en español.","Public controlled text; no personal data"
