"advisory","cve","package","severity","installed_before","fixed_version","dependency_type","representative_chain","classification","in_deployed_worker","internet_reachability","action","installed_after","status_after"
"GHSA-67mh-4wv8-2f99","","esbuild","moderate","0.18.20",">=0.24.3","transitive dev","drizzle-kit > @esbuild-kit/esm-loader > @esbuild-kit/core-utils > esbuild","C - build/development tooling","no","Not Internet reachable; invoked only by local migration tooling on trusted project files.","Retain pending an upstream-compatible replacement; do not force an incompatible esbuild major into the obsolete loader.","0.18.20","Residual, documented and mitigated"
"GHSA-58qx-3vcg-4xpx","","ws","moderate","8.18.0",">=8.20.1","transitive dev","@cloudflare/vite-plugin or wrangler > miniflare > ws","C - build/development tooling","no","Local Wrangler/Miniflare WebSocket service only; not shipped in Worker modules or assets.","Update @cloudflare/vite-plugin and wrangler to their compatible current releases.","8.21.0","Resolved"
"GHSA-g7r4-m6w7-qqqr","","esbuild","low","0.27.3",">=0.28.1","transitive dev","wrangler > esbuild","C - build/development tooling","no","Build-time code only; not shipped in Worker modules or assets.","Update wrangler to 4.115.0.","0.28.1","Resolved"
"GHSA-v6wh-96g9-6wx3","","vite","moderate","8.0.13",">=8.0.16","direct and transitive dev","vite; plugins and vinext > vite","C - build/development tooling","no","Affects the Windows development server, not the deployed Worker. Local development is bound to loopback.","Apply the minimum patched Vite release.","8.0.16","Resolved"
"GHSA-vmh5-mc38-953g","","undici","high","7.24.8",">=7.28.0","transitive dev","wrangler or @cloudflare/vite-plugin > miniflare > undici","C - build/development tooling","no","Miniflare local runtime only; no undici package code is present in the deployment modules.","Update the supported Cloudflare toolchain.","7.28.0","Resolved"
"GHSA-p88m-4jfj-68fv","","undici","moderate","7.24.8",">=7.28.0","transitive dev","wrangler or @cloudflare/vite-plugin > miniflare > undici","C - build/development tooling","no","Miniflare local runtime only; no undici package code is present in the deployment modules.","Update the supported Cloudflare toolchain.","7.28.0","Resolved"
"GHSA-vxpw-j846-p89q","","undici","high","7.24.8",">=7.28.0","transitive dev","wrangler or @cloudflare/vite-plugin > miniflare > undici","C - build/development tooling","no","Miniflare local runtime only; no undici package code is present in the deployment modules.","Update the supported Cloudflare toolchain.","7.28.0","Resolved"
"GHSA-hm92-r4w5-c3mj","","undici","high","7.24.8",">=7.28.0","transitive dev","wrangler or @cloudflare/vite-plugin > miniflare > undici","C - build/development tooling","no","Miniflare local runtime only; no undici package code is present in the deployment modules.","Update the supported Cloudflare toolchain.","7.28.0","Resolved"
"GHSA-35p6-xmwp-9g52","","undici","low","7.24.8",">=7.28.0","transitive dev","wrangler or @cloudflare/vite-plugin > miniflare > undici","C - build/development tooling","no","Miniflare local runtime only; no undici package code is present in the deployment modules.","Update the supported Cloudflare toolchain.","7.28.0","Resolved"
"GHSA-g8m3-5g58-fq7m","","undici","low","7.24.8",">=7.28.0","transitive dev","wrangler or @cloudflare/vite-plugin > miniflare > undici","C - build/development tooling","no","Miniflare local runtime only; no undici package code is present in the deployment modules.","Update the supported Cloudflare toolchain.","7.28.0","Resolved"
"GHSA-pr7r-676h-xcf6","","undici","moderate","7.24.8",">=7.28.0","transitive dev","wrangler or @cloudflare/vite-plugin > miniflare > undici","C - build/development tooling","no","Miniflare local runtime only; no undici package code is present in the deployment modules.","Update the supported Cloudflare toolchain.","7.28.0","Resolved"
"GHSA-96hv-2xvq-fx4p","","ws","high","8.18.0",">=8.21.0","transitive dev","@cloudflare/vite-plugin or wrangler > miniflare > ws","C - build/development tooling","no","Local Wrangler/Miniflare WebSocket service only; not shipped in Worker modules or assets.","Update @cloudflare/vite-plugin and wrangler to their compatible current releases.","8.21.0","Resolved"
"GHSA-fx2h-pf6j-xcff","","vite","high","8.0.13",">=8.0.16","direct and transitive dev","vite; plugins and vinext > vite","C - build/development tooling","no","Affects the Windows development server filesystem deny rules, not the deployed Worker. Local development is bound to loopback.","Apply the minimum patched Vite release.","8.0.16","Resolved"
"GHSA-wx67-qw84-cm4g","","react-server-dom-webpack","high","19.2.6",">=19.2.8","direct dev and transitive runtime bundle","react-server-dom-webpack; vinext or @vitejs/plugin-rsc > react-server-dom-webpack","A - production code bundled for Internet delivery","yes","RSC server and client edge production code is present in the Worker bundle. The prototype has no author-defined Server Functions, but the package remains part of the Internet-facing runtime.","Update React, React DOM and react-server-dom-webpack together to 19.2.8.","19.2.8","Resolved"
"GHSA-mh99-v99m-4gvg","","brace-expansion","high","1.1.16",">=5.0.8","transitive dev","eslint or eslint-config-next plugins > minimatch 3.1.5 > brace-expansion","C - build/development tooling","no","Only ESLint processes trusted repository globs locally and in CI. No lint service or attacker-controlled brace expression is exposed over HTTP.","Retain ESLint 9 because current React and JSX plugins do not declare ESLint 10 support. Do not override minimatch 3 with incompatible brace-expansion 5. Reassess when the lint plugin chain supports ESLint 10.","1.1.16","Residual, documented and mitigated"
