"package","version","representative_chain"
"@babel/code-frame","7.29.7","next > styled-jsx > @babel/core > @babel/code-frame"
"@babel/compat-data","7.29.7","next > styled-jsx > @babel/core > @babel/helper-compilation-targets > @babel/compat-data"
"@babel/core","7.29.7","next > styled-jsx > @babel/core"
"@babel/generator","7.29.7","next > styled-jsx > @babel/core > @babel/generator"
"@babel/helper-compilation-targets","7.29.7","next > styled-jsx > @babel/core > @babel/helper-compilation-targets"
"@babel/helper-globals","7.29.7","next > styled-jsx > @babel/core > @babel/helper-module-transforms > @babel/helper-module-imports > @babel/traverse > @babel/helper-globals"
"@babel/helper-module-imports","7.29.7","next > styled-jsx > @babel/core > @babel/helper-module-transforms > @babel/helper-module-imports"
"@babel/helper-module-transforms","7.29.7","next > styled-jsx > @babel/core > @babel/helper-module-transforms"
"@babel/helpers","7.29.7","next > styled-jsx > @babel/core > @babel/helpers"
"@babel/helper-string-parser","7.29.7","next > styled-jsx > @babel/core > @babel/generator > @babel/parser > @babel/types > @babel/helper-string-parser"
"@babel/helper-validator-identifier","7.29.7","next > styled-jsx > @babel/core > @babel/code-frame > @babel/helper-validator-identifier"
"@babel/helper-validator-option","7.29.7","next > styled-jsx > @babel/core > @babel/helper-compilation-targets > @babel/helper-validator-option"
"@babel/parser","7.29.7","next > styled-jsx > @babel/core > @babel/parser"
"@babel/template","7.29.7","next > styled-jsx > @babel/core > @babel/template"
"@babel/traverse","7.29.7","next > styled-jsx > @babel/core > @babel/traverse"
"@babel/types","7.29.7","next > styled-jsx > @babel/core > @babel/types"
"@emnapi/runtime","1.11.3","next > sharp > @img/sharp-freebsd-wasm32 > @img/sharp-wasm32 > @emnapi/runtime"
"@img/colour","1.1.0","next > sharp > @img/colour"
"@img/sharp-darwin-arm64","0.35.0","next > sharp > @img/sharp-darwin-arm64"
"@img/sharp-darwin-x64","0.35.0","next > sharp > @img/sharp-darwin-x64"
"@img/sharp-freebsd-wasm32","0.35.0","next > sharp > @img/sharp-freebsd-wasm32"
"@img/sharp-libvips-darwin-arm64","1.3.0","next > sharp > @img/sharp-libvips-darwin-arm64"
"@img/sharp-libvips-darwin-x64","1.3.0","next > sharp > @img/sharp-libvips-darwin-x64"
"@img/sharp-libvips-linux-arm","1.3.0","next > sharp > @img/sharp-libvips-linux-arm"
"@img/sharp-libvips-linux-arm64","1.3.0","next > sharp > @img/sharp-libvips-linux-arm64"
"@img/sharp-libvips-linuxmusl-arm64","1.3.0","next > sharp > @img/sharp-libvips-linuxmusl-arm64"
"@img/sharp-libvips-linuxmusl-x64","1.3.0","next > sharp > @img/sharp-libvips-linuxmusl-x64"
"@img/sharp-libvips-linux-ppc64","1.3.0","next > sharp > @img/sharp-libvips-linux-ppc64"
"@img/sharp-libvips-linux-riscv64","1.3.0","next > sharp > @img/sharp-libvips-linux-riscv64"
"@img/sharp-libvips-linux-s390x","1.3.0","next > sharp > @img/sharp-libvips-linux-s390x"
"@img/sharp-libvips-linux-x64","1.3.0","next > sharp > @img/sharp-libvips-linux-x64"
"@img/sharp-linux-arm","0.35.0","next > sharp > @img/sharp-linux-arm"
"@img/sharp-linux-arm64","0.35.0","next > sharp > @img/sharp-linux-arm64"
"@img/sharp-linuxmusl-arm64","0.35.0","next > sharp > @img/sharp-linuxmusl-arm64"
"@img/sharp-linuxmusl-x64","0.35.0","next > sharp > @img/sharp-linuxmusl-x64"
"@img/sharp-linux-ppc64","0.35.0","next > sharp > @img/sharp-linux-ppc64"
"@img/sharp-linux-riscv64","0.35.0","next > sharp > @img/sharp-linux-riscv64"
"@img/sharp-linux-s390x","0.35.0","next > sharp > @img/sharp-linux-s390x"
"@img/sharp-linux-x64","0.35.0","next > sharp > @img/sharp-linux-x64"
"@img/sharp-wasm32","0.35.0","next > sharp > @img/sharp-webcontainers-wasm32 > @img/sharp-wasm32"
"@img/sharp-webcontainers-wasm32","0.35.0","next > sharp > @img/sharp-webcontainers-wasm32"
"@img/sharp-win32-arm64","0.35.0","next > sharp > @img/sharp-win32-arm64"
"@img/sharp-win32-ia32","0.35.0","next > sharp > @img/sharp-win32-ia32"
"@img/sharp-win32-x64","0.35.0","next > sharp > @img/sharp-win32-x64"
"@jridgewell/gen-mapping","0.3.13","next > styled-jsx > @babel/core > @jridgewell/remapping > @jridgewell/gen-mapping"
"@jridgewell/remapping","2.3.5","next > styled-jsx > @babel/core > @jridgewell/remapping"
"@jridgewell/resolve-uri","3.1.2","next > styled-jsx > @babel/core > @babel/generator > @jridgewell/gen-mapping > @jridgewell/trace-mapping > @jridgewell/resolve-uri"
"@jridgewell/sourcemap-codec","1.5.5","next > styled-jsx > @babel/core > @babel/generator > @jridgewell/gen-mapping > @jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping","0.3.31","next > styled-jsx > @babel/core > @jridgewell/remapping > @jridgewell/trace-mapping"
"@next/env","16.2.12","next > @next/env"
"@next/swc-darwin-arm64","16.2.12","next > @next/swc-darwin-arm64"
"@next/swc-darwin-x64","16.2.12","next > @next/swc-darwin-x64"
"@next/swc-linux-arm64-gnu","16.2.12","next > @next/swc-linux-arm64-gnu"
"@next/swc-linux-arm64-musl","16.2.12","next > @next/swc-linux-arm64-musl"
"@next/swc-linux-x64-gnu","16.2.12","next > @next/swc-linux-x64-gnu"
"@next/swc-linux-x64-musl","16.2.12","next > @next/swc-linux-x64-musl"
"@next/swc-win32-arm64-msvc","16.2.12","next > @next/swc-win32-arm64-msvc"
"@next/swc-win32-x64-msvc","16.2.12","next > @next/swc-win32-x64-msvc"
"@pdf-lib/standard-fonts","1.0.0","pdf-lib > @pdf-lib/standard-fonts"
"@pdf-lib/upng","1.0.1","pdf-lib > @pdf-lib/upng"
"@swc/helpers","0.5.15","next > @swc/helpers"
"baseline-browser-mapping","2.11.5","next > baseline-browser-mapping"
"browserslist","4.28.7","next > styled-jsx > @babel/core > @babel/helper-compilation-targets > browserslist"
"caniuse-lite","1.0.30001806","next > caniuse-lite"
"client-only","0.0.1","next > styled-jsx > client-only"
"convert-source-map","2.0.0","next > styled-jsx > @babel/core > convert-source-map"
"debug","4.4.3","next > styled-jsx > @babel/core > debug"
"detect-libc","2.1.2","next > sharp > detect-libc"
"drizzle-orm","0.45.2","drizzle-orm"
"electron-to-chromium","1.5.396","next > styled-jsx > @babel/core > @babel/helper-compilation-targets > browserslist > electron-to-chromium"
