"package","before","after","reason"
"next","16.2.11","16.2.12","Patch alignment with the React security update"
"react","19.2.6","19.2.8","Keep the React runtime aligned with the patched RSC package"
"react-dom","19.2.6","19.2.8","Keep the React runtime aligned with the patched RSC package"
"react-server-dom-webpack","19.2.6","19.2.8","Resolve GHSA-wx67-qw84-cm4g in code bundled into the Worker"
"vite","8.0.13","8.0.16","Resolve GHSA-fx2h-pf6j-xcff and GHSA-v6wh-96g9-6wx3 with the minimum patched release"
"wrangler","4.92.0","4.115.0","Pull supported patched Miniflare, undici, ws and esbuild versions"
"@cloudflare/vite-plugin","1.37.1","1.48.0","Compatible pair for Wrangler 4.115.0 and patched Cloudflare tooling"
"eslint-config-next","16.2.6","16.2.12","Patch alignment with Next 16.2.12; no ESLint major change"
"miniflare","4.20260515.0","4.20260722.1","Transitive through the supported Cloudflare toolchain"
"undici","7.24.8","7.28.0","Resolve seven HTTP, TLS, cache and WebSocket advisories"
"ws","8.18.0","8.21.0","Resolve memory exhaustion and disclosure advisories"
"esbuild (Wrangler/Vite path)","0.27.3","0.28.1","Resolve the Cloudflare tooling esbuild advisory"
